date,city,group,twin_pair,daily_sales
2025-06-08,San Francisco,Test,San Francisco / Seattle,16792.1
2025-06-09,San Francisco,Test,San Francisco / Seattle,15987.89
2025-06-10,San Francisco,Test,San Francisco / Seattle,15351.31
2025-06-11,San Francisco,Test,San Francisco / Seattle,16071.21
2025-06-12,San Francisco,Test,San Francisco / Seattle,16234.27
2025-06-13,San Francisco,Test,San Francisco / Seattle,15456.28
2025-06-14,San Francisco,Test,San Francisco / Seattle,17742.9
2025-06-15,San Francisco,Test,San Francisco / Seattle,17534.91
2025-06-16,San Francisco,Test,San Francisco / Seattle,16150.14
2025-06-17,San Francisco,Test,San Francisco / Seattle,16590.81
2025-06-18,San Francisco,Test,San Francisco / Seattle,15743.97
2025-06-19,San Francisco,Test,San Francisco / Seattle,15549.93
2025-06-20,San Francisco,Test,San Francisco / Seattle,15504.17
2025-06-21,San Francisco,Test,San Francisco / Seattle,17101.47
2025-06-22,San Francisco,Test,San Francisco / Seattle,17404.03
2025-06-23,San Francisco,Test,San Francisco / Seattle,16017.66
2025-06-24,San Francisco,Test,San Francisco / Seattle,15997.47
2025-06-25,San Francisco,Test,San Francisco / Seattle,16222.52
2025-06-26,San Francisco,Test,San Francisco / Seattle,15900.96
2025-06-27,San Francisco,Test,San Francisco / Seattle,16480.56
2025-06-28,San Francisco,Test,San Francisco / Seattle,17355.92
2025-06-29,San Francisco,Test,San Francisco / Seattle,18551.76
2025-06-30,San Francisco,Test,San Francisco / Seattle,16155.14
2025-07-01,San Francisco,Test,San Francisco / Seattle,15562.45
2025-07-02,San Francisco,Test,San Francisco / Seattle,15476.68
2025-07-03,San Francisco,Test,San Francisco / Seattle,16097.02
2025-07-04,San Francisco,Test,San Francisco / Seattle,17252.91
2025-07-05,San Francisco,Test,San Francisco / Seattle,17745.44
2025-07-06,San Francisco,Test,San Francisco / Seattle,17645.97
2025-07-07,San Francisco,Test,San Francisco / Seattle,15863.66
2025-07-08,San Francisco,Test,San Francisco / Seattle,15549.49
2025-07-09,San Francisco,Test,San Francisco / Seattle,15276.97
2025-07-10,San Francisco,Test,San Francisco / Seattle,15698.3
2025-07-11,San Francisco,Test,San Francisco / Seattle,16212.76
2025-07-12,San Francisco,Test,San Francisco / Seattle,17508.45
2025-07-13,San Francisco,Test,San Francisco / Seattle,16916.43
2025-07-14,San Francisco,Test,San Francisco / Seattle,15915.23
2025-07-15,San Francisco,Test,San Francisco / Seattle,15990.64
2025-07-16,San Francisco,Test,San Francisco / Seattle,15472.85
2025-07-17,San Francisco,Test,San Francisco / Seattle,15877.09
2025-07-18,San Francisco,Test,San Francisco / Seattle,15827.43
2025-07-19,San Francisco,Test,San Francisco / Seattle,16894.84
2025-07-20,San Francisco,Test,San Francisco / Seattle,17482.38
2025-07-21,San Francisco,Test,San Francisco / Seattle,15990.17
2025-07-22,San Francisco,Test,San Francisco / Seattle,16185.03
2025-07-23,San Francisco,Test,San Francisco / Seattle,16158.64
2025-07-24,San Francisco,Test,San Francisco / Seattle,15170.75
2025-07-25,San Francisco,Test,San Francisco / Seattle,15330.76
2025-07-26,San Francisco,Test,San Francisco / Seattle,17455.36
2025-07-27,San Francisco,Test,San Francisco / Seattle,17437.71
2025-07-28,San Francisco,Test,San Francisco / Seattle,15860.48
2025-07-29,San Francisco,Test,San Francisco / Seattle,17177.22
2025-07-30,San Francisco,Test,San Francisco / Seattle,15845.57
2025-07-31,San Francisco,Test,San Francisco / Seattle,16051.95
2025-08-01,San Francisco,Test,San Francisco / Seattle,15959.27
2025-08-02,San Francisco,Test,San Francisco / Seattle,17377.61
2025-08-03,San Francisco,Test,San Francisco / Seattle,16969.79
2025-08-04,San Francisco,Test,San Francisco / Seattle,15817.78
2025-08-05,San Francisco,Test,San Francisco / Seattle,15182.83
2025-08-06,San Francisco,Test,San Francisco / Seattle,15374.48
2025-08-07,San Francisco,Test,San Francisco / Seattle,15251.79
2025-08-08,San Francisco,Test,San Francisco / Seattle,15454.91
2025-08-09,San Francisco,Test,San Francisco / Seattle,17883.75
2025-08-10,San Francisco,Test,San Francisco / Seattle,16186.23
2025-08-11,San Francisco,Test,San Francisco / Seattle,15622.41
2025-08-12,San Francisco,Test,San Francisco / Seattle,14677.13
2025-08-13,San Francisco,Test,San Francisco / Seattle,15107.29
2025-08-14,San Francisco,Test,San Francisco / Seattle,15705.04
2025-08-15,San Francisco,Test,San Francisco / Seattle,15268.14
2025-08-16,San Francisco,Test,San Francisco / Seattle,16343.88
2025-08-17,San Francisco,Test,San Francisco / Seattle,16460.98
2025-08-18,San Francisco,Test,San Francisco / Seattle,15430.66
2025-08-19,San Francisco,Test,San Francisco / Seattle,14838.01
2025-08-20,San Francisco,Test,San Francisco / Seattle,15187.69
2025-08-21,San Francisco,Test,San Francisco / Seattle,15089.91
2025-08-22,San Francisco,Test,San Francisco / Seattle,14781.26
2025-08-23,San Francisco,Test,San Francisco / Seattle,17429.34
2025-08-24,San Francisco,Test,San Francisco / Seattle,16794.86
2025-08-25,San Francisco,Test,San Francisco / Seattle,14140.44
2025-08-26,San Francisco,Test,San Francisco / Seattle,14993.97
2025-08-27,San Francisco,Test,San Francisco / Seattle,14623.26
2025-08-28,San Francisco,Test,San Francisco / Seattle,15197.24
2025-08-29,San Francisco,Test,San Francisco / Seattle,14507.28
2025-08-30,San Francisco,Test,San Francisco / Seattle,16306.14
2025-08-31,San Francisco,Test,San Francisco / Seattle,16521.52
2025-09-01,San Francisco,Test,San Francisco / Seattle,16273.07
2025-09-02,San Francisco,Test,San Francisco / Seattle,14213.66
2025-09-03,San Francisco,Test,San Francisco / Seattle,14526.78
2025-09-04,San Francisco,Test,San Francisco / Seattle,14437.19
2025-09-05,San Francisco,Test,San Francisco / Seattle,14332.22
2025-09-06,San Francisco,Test,San Francisco / Seattle,16825.95
2025-09-07,San Francisco,Test,San Francisco / Seattle,16247.79
2025-09-08,San Francisco,Test,San Francisco / Seattle,13987.33
2025-09-09,San Francisco,Test,San Francisco / Seattle,14824.56
2025-09-10,San Francisco,Test,San Francisco / Seattle,15271.88
2025-09-11,San Francisco,Test,San Francisco / Seattle,14801.48
2025-09-12,San Francisco,Test,San Francisco / Seattle,13746.12
2025-09-13,San Francisco,Test,San Francisco / Seattle,15685.45
2025-09-14,San Francisco,Test,San Francisco / Seattle,16351.11
2025-09-15,San Francisco,Test,San Francisco / Seattle,13966.4
2025-09-16,San Francisco,Test,San Francisco / Seattle,14392.06
2025-09-17,San Francisco,Test,San Francisco / Seattle,14489.41
2025-09-18,San Francisco,Test,San Francisco / Seattle,13773.77
2025-09-19,San Francisco,Test,San Francisco / Seattle,14085.71
2025-09-20,San Francisco,Test,San Francisco / Seattle,14337.98
2025-09-21,San Francisco,Test,San Francisco / Seattle,15189.7
2025-09-22,San Francisco,Test,San Francisco / Seattle,13903.42
2025-09-23,San Francisco,Test,San Francisco / Seattle,13470.35
2025-09-24,San Francisco,Test,San Francisco / Seattle,14587.5
2025-09-25,San Francisco,Test,San Francisco / Seattle,13327.6
2025-09-26,San Francisco,Test,San Francisco / Seattle,13688.83
2025-09-27,San Francisco,Test,San Francisco / Seattle,15442.43
2025-09-28,San Francisco,Test,San Francisco / Seattle,15932.01
2025-09-29,San Francisco,Test,San Francisco / Seattle,13186.64
2025-09-30,San Francisco,Test,San Francisco / Seattle,14191.85
2025-10-01,San Francisco,Test,San Francisco / Seattle,13696.41
2025-10-02,San Francisco,Test,San Francisco / Seattle,13265.59
2025-10-03,San Francisco,Test,San Francisco / Seattle,13809.08
2025-10-04,San Francisco,Test,San Francisco / Seattle,15230.07
2025-10-05,San Francisco,Test,San Francisco / Seattle,14876.75
2025-10-06,San Francisco,Test,San Francisco / Seattle,13551.34
2025-10-07,San Francisco,Test,San Francisco / Seattle,13336.09
2025-10-08,San Francisco,Test,San Francisco / Seattle,13502.64
2025-10-09,San Francisco,Test,San Francisco / Seattle,13689.33
2025-10-10,San Francisco,Test,San Francisco / Seattle,14026.38
2025-10-11,San Francisco,Test,San Francisco / Seattle,14424.59
2025-10-12,San Francisco,Test,San Francisco / Seattle,15740.94
2025-10-13,San Francisco,Test,San Francisco / Seattle,12515.19
2025-10-14,San Francisco,Test,San Francisco / Seattle,13203.9
2025-10-15,San Francisco,Test,San Francisco / Seattle,13468.83
2025-10-16,San Francisco,Test,San Francisco / Seattle,13315.1
2025-10-17,San Francisco,Test,San Francisco / Seattle,12923.15
2025-10-18,San Francisco,Test,San Francisco / Seattle,14618.85
2025-10-19,San Francisco,Test,San Francisco / Seattle,14475.12
2025-10-20,San Francisco,Test,San Francisco / Seattle,12847.15
2025-10-21,San Francisco,Test,San Francisco / Seattle,13393.68
2025-10-22,San Francisco,Test,San Francisco / Seattle,13167.98
2025-10-23,San Francisco,Test,San Francisco / Seattle,12719.74
2025-10-24,San Francisco,Test,San Francisco / Seattle,13328.87
2025-10-25,San Francisco,Test,San Francisco / Seattle,14624.49
2025-10-26,San Francisco,Test,San Francisco / Seattle,14799.68
2025-10-27,San Francisco,Test,San Francisco / Seattle,13139.79
2025-10-28,San Francisco,Test,San Francisco / Seattle,12530.19
2025-10-29,San Francisco,Test,San Francisco / Seattle,12612.02
2025-10-30,San Francisco,Test,San Francisco / Seattle,13109.78
2025-10-31,San Francisco,Test,San Francisco / Seattle,13030.26
2025-11-01,San Francisco,Test,San Francisco / Seattle,14313.48
2025-11-02,San Francisco,Test,San Francisco / Seattle,14345.0
2025-11-03,San Francisco,Test,San Francisco / Seattle,13225.86
2025-11-04,San Francisco,Test,San Francisco / Seattle,12455.41
2025-11-05,San Francisco,Test,San Francisco / Seattle,12888.65
2025-11-06,San Francisco,Test,San Francisco / Seattle,12567.23
2025-11-07,San Francisco,Test,San Francisco / Seattle,12539.87
2025-11-08,San Francisco,Test,San Francisco / Seattle,14605.84
2025-11-09,San Francisco,Test,San Francisco / Seattle,14476.45
2025-11-10,San Francisco,Test,San Francisco / Seattle,12892.19
2025-11-11,San Francisco,Test,San Francisco / Seattle,13070.07
2025-11-12,San Francisco,Test,San Francisco / Seattle,12537.94
2025-11-13,San Francisco,Test,San Francisco / Seattle,12784.58
2025-11-14,San Francisco,Test,San Francisco / Seattle,12370.55
2025-11-15,San Francisco,Test,San Francisco / Seattle,14167.78
2025-11-16,San Francisco,Test,San Francisco / Seattle,13970.13
2025-11-17,San Francisco,Test,San Francisco / Seattle,12485.68
2025-11-18,San Francisco,Test,San Francisco / Seattle,12670.26
2025-11-19,San Francisco,Test,San Francisco / Seattle,12090.86
2025-11-20,San Francisco,Test,San Francisco / Seattle,13241.69
2025-11-21,San Francisco,Test,San Francisco / Seattle,11989.56
2025-11-22,San Francisco,Test,San Francisco / Seattle,13454.18
2025-11-23,San Francisco,Test,San Francisco / Seattle,14391.65
2025-11-24,San Francisco,Test,San Francisco / Seattle,12674.28
2025-11-25,San Francisco,Test,San Francisco / Seattle,12597.14
2025-11-26,San Francisco,Test,San Francisco / Seattle,12589.38
2025-11-27,San Francisco,Test,San Francisco / Seattle,15924.37
2025-11-28,San Francisco,Test,San Francisco / Seattle,17362.29
2025-11-29,San Francisco,Test,San Francisco / Seattle,13904.12
2025-11-30,San Francisco,Test,San Francisco / Seattle,13596.23
2025-12-01,San Francisco,Test,San Francisco / Seattle,12999.72
2025-12-02,San Francisco,Test,San Francisco / Seattle,12854.12
2025-12-03,San Francisco,Test,San Francisco / Seattle,12886.72
2025-12-04,San Francisco,Test,San Francisco / Seattle,13393.06
2025-12-05,San Francisco,Test,San Francisco / Seattle,13992.19
2025-12-06,San Francisco,Test,San Francisco / Seattle,15467.64
2025-12-07,San Francisco,Test,San Francisco / Seattle,15671.09
2025-12-08,San Francisco,Test,San Francisco / Seattle,14536.44
2025-12-09,San Francisco,Test,San Francisco / Seattle,14536.67
2025-12-10,San Francisco,Test,San Francisco / Seattle,14236.35
2025-12-11,San Francisco,Test,San Francisco / Seattle,14251.89
2025-12-12,San Francisco,Test,San Francisco / Seattle,14535.03
2025-12-13,San Francisco,Test,San Francisco / Seattle,15425.62
2025-12-14,San Francisco,Test,San Francisco / Seattle,15445.25
2025-12-15,San Francisco,Test,San Francisco / Seattle,14164.98
2025-12-16,San Francisco,Test,San Francisco / Seattle,14371.83
2025-12-17,San Francisco,Test,San Francisco / Seattle,14587.16
2025-12-18,San Francisco,Test,San Francisco / Seattle,15059.28
2025-12-19,San Francisco,Test,San Francisco / Seattle,14819.27
2025-12-20,San Francisco,Test,San Francisco / Seattle,15980.05
2025-12-21,San Francisco,Test,San Francisco / Seattle,16044.97
2025-12-22,San Francisco,Test,San Francisco / Seattle,14100.86
2025-12-23,San Francisco,Test,San Francisco / Seattle,14504.51
2025-12-24,San Francisco,Test,San Francisco / Seattle,17407.22
2025-12-25,San Francisco,Test,San Francisco / Seattle,16463.29
2025-12-26,San Francisco,Test,San Francisco / Seattle,14215.56
2025-12-27,San Francisco,Test,San Francisco / Seattle,16327.18
2025-12-28,San Francisco,Test,San Francisco / Seattle,16746.26
2025-12-29,San Francisco,Test,San Francisco / Seattle,14544.12
2025-12-30,San Francisco,Test,San Francisco / Seattle,14763.5
2025-12-31,San Francisco,Test,San Francisco / Seattle,16094.79
2025-01-01,Seattle,Control,San Francisco / Seattle,9994.89
2025-01-02,Seattle,Control,San Francisco / Seattle,9662.39
2025-01-03,Seattle,Control,San Francisco / Seattle,9595.88
2025-01-04,Seattle,Control,San Francisco / Seattle,11208.72
2025-01-05,Seattle,Control,San Francisco / Seattle,10879.97
2025-01-06,Seattle,Control,San Francisco / Seattle,9659.22
2025-01-07,Seattle,Control,San Francisco / Seattle,9869.56
2025-01-08,Seattle,Control,San Francisco / Seattle,10272.47
2025-01-09,Seattle,Control,San Francisco / Seattle,10098.07
2025-01-10,Seattle,Control,San Francisco / Seattle,10598.68
2025-01-11,Seattle,Control,San Francisco / Seattle,11014.21
2025-01-12,Seattle,Control,San Francisco / Seattle,11694.5
2025-01-13,Seattle,Control,San Francisco / Seattle,9884.02
2025-01-14,Seattle,Control,San Francisco / Seattle,10712.39
2025-01-15,Seattle,Control,San Francisco / Seattle,9539.6
2025-01-16,Seattle,Control,San Francisco / Seattle,9554.16
2025-01-17,Seattle,Control,San Francisco / Seattle,9678.07
2025-01-18,Seattle,Control,San Francisco / Seattle,10656.71
2025-01-19,Seattle,Control,San Francisco / Seattle,11325.06
2025-01-20,Seattle,Control,San Francisco / Seattle,9701.44
2025-01-21,Seattle,Control,San Francisco / Seattle,10095.61
2025-01-22,Seattle,Control,San Francisco / Seattle,10203.16
2025-01-23,Seattle,Control,San Francisco / Seattle,10848.54
2025-01-24,Seattle,Control,San Francisco / Seattle,10510.48
2025-01-25,Seattle,Control,San Francisco / Seattle,11492.39
2025-01-26,Seattle,Control,San Francisco / Seattle,11397.23
2025-01-27,Seattle,Control,San Francisco / Seattle,10427.4
2025-01-28,Seattle,Control,San Francisco / Seattle,9737.17
2025-01-29,Seattle,Control,San Francisco / Seattle,11033.05
2025-01-30,Seattle,Control,San Francisco / Seattle,10808.01
2025-01-31,Seattle,Control,San Francisco / Seattle,10184.9
2025-02-01,Seattle,Control,San Francisco / Seattle,11284.2
2025-02-02,Seattle,Control,San Francisco / Seattle,12548.44
2025-02-03,Seattle,Control,San Francisco / Seattle,10439.04
2025-02-04,Seattle,Control,San Francisco / Seattle,11018.48
2025-02-05,Seattle,Control,San Francisco / Seattle,9924.6
2025-02-06,Seattle,Control,San Francisco / Seattle,10362.14
2025-02-07,Seattle,Control,San Francisco / Seattle,10644.01
2025-02-08,Seattle,Control,San Francisco / Seattle,12261.22
2025-02-09,Seattle,Control,San Francisco / Seattle,12103.39
2025-02-10,Seattle,Control,San Francisco / Seattle,11014.02
2025-02-11,Seattle,Control,San Francisco / Seattle,10379.76
2025-02-12,Seattle,Control,San Francisco / Seattle,10792.23
2025-02-13,Seattle,Control,San Francisco / Seattle,10940.12
2025-02-14,Seattle,Control,San Francisco / Seattle,12101.02
2025-02-15,Seattle,Control,San Francisco / Seattle,12823.56
2025-02-16,Seattle,Control,San Francisco / Seattle,12133.13
2025-02-17,Seattle,Control,San Francisco / Seattle,10453.82
2025-02-18,Seattle,Control,San Francisco / Seattle,11623.39
2025-02-19,Seattle,Control,San Francisco / Seattle,11290.49
2025-02-20,Seattle,Control,San Francisco / Seattle,10903.77
2025-02-21,Seattle,Control,San Francisco / Seattle,11869.59
2025-02-22,Seattle,Control,San Francisco / Seattle,12901.7
2025-02-23,Seattle,Control,San Francisco / Seattle,13373.78
2025-02-24,Seattle,Control,San Francisco / Seattle,11416.02
2025-02-25,Seattle,Control,San Francisco / Seattle,12260.58
2025-02-26,Seattle,Control,San Francisco / Seattle,12185.98
2025-02-27,Seattle,Control,San Francisco / Seattle,11432.1
2025-02-28,Seattle,Control,San Francisco / Seattle,11968.44
2025-03-01,Seattle,Control,San Francisco / Seattle,13446.34
2025-03-02,Seattle,Control,San Francisco / Seattle,13784.28
2025-03-03,Seattle,Control,San Francisco / Seattle,11339.73
2025-03-04,Seattle,Control,San Francisco / Seattle,12049.21
2025-03-05,Seattle,Control,San Francisco / Seattle,12247.47
2025-03-06,Seattle,Control,San Francisco / Seattle,11170.12
2025-03-07,Seattle,Control,San Francisco / Seattle,11450.01
2025-03-08,Seattle,Control,San Francisco / Seattle,12717.5
2025-03-09,Seattle,Control,San Francisco / Seattle,13475.48
2025-03-10,Seattle,Control,San Francisco / Seattle,12360.45
2025-03-11,Seattle,Control,San Francisco / Seattle,12724.71
2025-03-12,Seattle,Control,San Francisco / Seattle,12203.87
2025-03-13,Seattle,Control,San Francisco / Seattle,12876.25
2025-03-14,Seattle,Control,San Francisco / Seattle,11723.44
